model,baseline,n_questions,n_pass,accuracy_pct,avg_prompt_tokens,avg_completion_tokens
anthropic/claude-opus-4.7,a,120,1,0.83,1573.0,173.1
anthropic/claude-opus-4.7,b,120,2,1.67,2715.1,234.8
anthropic/claude-opus-4.7,c,120,2,1.67,4459.4,131.0
anthropic/claude-opus-4.7,d,120,2,1.67,3909.9,122.4
anthropic/claude-opus-4.7,e,120,32,26.67,9012.2,355.2
anthropic/claude-sonnet-4.5,a,120,0,0.0,1025.5,143.6
anthropic/claude-sonnet-4.5,b,120,3,2.5,1786.5,162.2
anthropic/claude-sonnet-4.5,c,120,2,1.67,3245.8,124.0
anthropic/claude-sonnet-4.5,d,120,1,0.83,2904.3,142.7
anthropic/claude-sonnet-4.5,e,120,40,33.33,6761.7,257.8
openai/gpt-5.4,a,120,0,0.0,887.1,151.7
openai/gpt-5.4,b,120,4,3.33,1561.7,187.2
openai/gpt-5.4,c,120,3,2.5,2843.9,94.5
openai/gpt-5.4,d,120,2,1.67,2502.3,93.3
openai/gpt-5.4,e,120,36,30.0,5716.5,233.8
