model,baseline,n_questions,n_pass,accuracy_pct,avg_prompt_tokens,avg_completion_tokens
anthropic/claude-opus-4.7,a,120,2,1.67,1573.0,173.9
anthropic/claude-opus-4.7,b,120,4,3.33,2715.1,240.3
anthropic/claude-opus-4.7,c,120,2,1.67,4459.4,130.4
anthropic/claude-opus-4.7,d,120,2,1.67,3909.9,123.4
anthropic/claude-opus-4.7,e,120,36,30.0,9012.2,355.8
anthropic/claude-sonnet-4.5,a,120,0,0.0,1025.5,140.2
anthropic/claude-sonnet-4.5,b,120,3,2.5,1786.5,158.1
anthropic/claude-sonnet-4.5,c,120,2,1.67,3245.8,122.1
anthropic/claude-sonnet-4.5,d,120,1,0.83,2904.3,139.3
anthropic/claude-sonnet-4.5,e,120,40,33.33,6761.7,257.9
openai/gpt-5.4,a,120,3,2.5,887.1,156.6
openai/gpt-5.4,b,120,5,4.17,1561.7,185.5
openai/gpt-5.4,c,120,2,1.67,2843.9,92.3
openai/gpt-5.4,d,120,2,1.67,2502.3,94.6
openai/gpt-5.4,e,120,36,30.0,5716.5,232.7
